TempAvgF,DewPointAvgF,HumidityAvgPercent,SeaLevelPressureAvgInches,VisibilityAvgMiles,WindAvgMPH,WindGustMPH,Events
44,33,63,30.18,8,8,29,Rain
45,27,56,30.1,10,3,17,not rainy
62,46,60,29.85,10,6,21,not rainy
68,57,74,29.95,7,5,27,Fog
51,45,79,30.05,8,10,37,Rain
36,20,56,30.33,9,10,29,"Rain , Thunderstorm"
40,31,72,30.18,8,4,13,Rain
46,39,76,30.06,7,3,16,not rainy
54,38,62,30.18,8,4,20,not rainy
53,42,65,29.99,9,6,22,not rainy
52,49,88,30.09,3,4,21,"Rain , Thunderstorm"
49,39,71,30.29,9,5,23,Rain
61,51,69,30.08,9,3,17,Rain
70,54,66,29.77,9,5,22,not rainy
60,28,36,30.13,10,11,37,not rainy
52,26,35,30.26,10,4,18,not rainy
62,51,68,30.04,10,5,24,not rainy
68,62,81,29.86,5,4,17,"Fog , Rain"
56,45,66,29.9,10,11,36,not rainy
55,26,36,29.94,10,6,26,not rainy
65,42,49,29.74,10,8,26,not rainy
62,37,52,30.07,9,6,26,not rainy
59,36,52,30.15,10,2,15,not rainy
67,54,69,29.95,8,7,27,Fog
69,62,80,29.95,7,4,17,not rainy
54,43,62,30.19,10,9,30,not rainy
58,42,58,30.14,10,3,15,not rainy
57,38,61,30.24,10,5,22,not rainy
60,47,57,30.08,10,10,33,Rain
72,63,78,29.83,7,8,26,Rain
76,61,64,29.79,8,5,27,Thunderstorm
64,40,43,30.18,10,5,21,not rainy
62,43,56,30.13,10,8,30,not rainy
73,57,65,29.93,10,9,27,not rainy
76,64,71,29.92,8,8,28,not rainy
76,67,78,29.8,9,9,30,Rain
77,67,74,29.74,8,7,25,not rainy
64,35,58,30.03,10,8,28,Rain
60,38,48,29.99,10,4,17,not rainy
57,49,76,29.81,7,5,19,"Rain , Thunderstorm"
62,49,69,29.92,9,3,57,"Rain , Thunderstorm"
64,38,57,30.14,10,8,37,not rainy
65,42,51,30.17,10,6,22,not rainy
72,53,59,30.01,10,10,31,not rainy
73,59,65,29.98,10,8,25,not rainy
75,62,66,29.91,10,10,30,not rainy
73,66,79,29.76,9,7,29,not rainy
58,46,65,29.96,8,10,38,"Fog , Rain , Thunderstorm"
52,25,39,30.27,10,4,17,not rainy
57,40,56,30.06,10,7,26,not rainy
62,57,85,30.09,7,4,15,Rain
69,57,68,30.17,6,2,16,Rain
66,54,68,30.12,9,5,19,not rainy
68,59,77,30.1,8,6,19,not rainy
74,63,72,30.01,9,5,25,"Rain , Thunderstorm"
75,58,61,29.96,10,3,20,not rainy
73,61,68,29.85,10,7,29,not rainy
78,62,63,29.82,10,5,26,not rainy
76,54,51,29.92,10,6,20,not rainy
77,66,73,29.78,6,8,28,Rain
85,66,51,29.55,6,6,24,not rainy
80,39,39,29.61,10,4,22,not rainy
72,34,36,29.77,10,7,28,not rainy
66,33,32,30.08,10,6,28,not rainy
65,33,39,30.12,10,3,18,not rainy
70,35,33,30.02,10,3,17,not rainy
76,35,27,30,10,4,20,not rainy
76,37,27,30.02,10,7,23,not rainy
76,56,61,29.91,10,8,27,not rainy
76,62,66,29.81,10,9,29,not rainy
79,64,65,29.81,10,9,31,not rainy
79,70,75,29.81,6,8,30,Rain
76,68,69,29.89,5,5,39,"Rain , Thunderstorm"
76,62,71,29.84,10,6,23,not rainy
83,67,63,29.77,9,10,30,not rainy
72,70,87,29.84,5,7,26,"Fog , Rain , Thunderstorm"
61,54,73,30.09,8,8,31,"Rain , Thunderstorm"
64,43,57,30.24,10,7,28,Rain
65,41,55,30.22,10,3,17,not rainy
74,43,40,30.06,10,7,27,not rainy
73,55,58,29.97,10,9,26,not rainy
74,59,67,30.03,10,8,24,not rainy
76,61,65,30,10,10,27,not rainy
78,62,63,30.01,10,9,26,not rainy
80,64,61,30.02,10,8,27,not rainy
79,65,70,30.05,10,7,25,not rainy
78,67,69,30.03,8,6,20,"Fog , Rain"
78,68,79,29.99,9,7,23,not rainy
80,66,66,29.98,10,6,24,Thunderstorm
70,65,83,30,8,5,29,"Rain , Thunderstorm"
68,64,86,29.95,6,3,31,"Fog , Rain , Thunderstorm"
76,66,74,29.88,7,4,22,not rainy
78,63,66,29.85,10,2,15,not rainy
81,65,60,29.82,10,3,17,not rainy
82,67,63,29.85,10,3,20,not rainy
80,69,69,29.9,8,4,20,not rainy
83,69,67,29.91,10,7,22,not rainy
83,70,67,29.96,10,6,17,not rainy
83,70,70,29.86,10,7,21,not rainy
83,70,72,29.82,10,7,22,not rainy
83,70,70,29.88,10,7,25,not rainy
83,70,71,29.89,10,7,26,not rainy
83,70,67,29.88,10,7,27,Rain
77,71,78,29.81,8,4,22,"Rain , Thunderstorm"
78,61,64,29.85,10,3,20,not rainy
80,66,64,29.83,10,5,21,not rainy
80,72,68,29.82,9,8,47,"Rain , Thunderstorm"
84,69,69,29.99,10,9,22,not rainy
85,72,68,29.96,9,9,26,Rain
84,71,68,30,10,6,22,not rainy
83,71,69,30.04,10,5,19,not rainy
84,72,72,29.99,10,6,21,not rainy
83,72,70,29.9,9,8,22,not rainy
78,72,75,29.93,8,4,26,"Rain , Thunderstorm"
84,72,72,30,9,4,35,"Fog , Rain , Thunderstorm"
80,72,77,30.01,8,5,24,"Fog , Rain , Thunderstorm"
80,71,76,29.95,10,7,24,Rain
83,72,69,29.87,10,8,32,not rainy
86,73,69,29.88,10,9,27,not rainy
86,73,69,29.97,9,9,27,not rainy
87,71,64,29.94,9,8,27,not rainy
86,70,64,29.92,10,6,22,not rainy
85,69,64,30,10,4,18,not rainy
84,69,62,30.08,10,3,29,"Rain , Thunderstorm"
82,68,67,30.15,10,4,23,Thunderstorm
82,69,70,30.12,10,4,30,not rainy
84,70,72,30.03,8,5,20,not rainy
85,67,61,29.97,10,5,19,not rainy
86,68,63,29.99,10,7,21,not rainy
85,66,59,30,10,6,23,not rainy
84,68,64,30.01,10,5,24,not rainy
83,67,60,30.09,10,5,22,not rainy
85,66,59,30.1,9,4,20,not rainy
87,67,63,30.03,10,4,17,not rainy
88,67,55,29.96,10,4,16,not rainy
83,71,71,29.96,10,3,23,"Rain , Thunderstorm"
84,71,68,29.95,8,4,22,"Rain , Thunderstorm"
82,74,77,29.86,7,5,19,"Fog , Rain , Thunderstorm"
75,71,87,29.93,7,3,27,"Rain , Thunderstorm"
78,68,76,29.99,9,2,11,not rainy
84,72,73,29.96,9,4,18,not rainy
87,73,70,29.97,9,6,20,not rainy
86,72,68,30.01,10,2,14,not rainy
86,71,66,30,9,3,14,not rainy
84,72,70,29.99,8,3,12,Rain
86,70,63,29.96,10,5,18,not rainy
87,71,66,29.95,10,6,25,not rainy
87,71,64,30,10,6,22,not rainy
87,69,62,30.05,10,3,15,not rainy
87,70,63,30.03,10,4,23,not rainy
86,68,60,29.97,10,6,22,not rainy
87,71,64,29.94,10,4,19,not rainy
82,65,59,29.98,10,5,18,not rainy
79,66,70,30.02,10,3,18,not rainy
83,66,62,30,10,4,19,not rainy
83,69,66,29.98,9,3,20,not rainy
85,68,61,29.99,10,3,22,not rainy
88,68,64,29.96,10,5,20,not rainy
90,71,59,29.9,8,6,25,not rainy
89,70,60,29.89,10,6,22,not rainy
89,68,60,29.94,10,5,18,not rainy
89,69,58,29.96,10,4,19,not rainy
89,71,62,30,10,3,23,"Rain , Thunderstorm"
87,66,62,29.99,10,4,17,not rainy
83,57,45,30.01,10,4,20,not rainy
84,61,50,29.97,10,4,16,not rainy
88,69,58,29.95,10,5,19,not rainy
91,69,57,29.88,10,7,24,not rainy
90,71,56,29.92,10,6,24,not rainy
90,71,59,29.9,10,7,24,not rainy
87,68,55,29.87,10,7,25,Thunderstorm
90,71,57,29.92,10,8,29,not rainy
92,71,55,29.98,10,9,27,not rainy
91,69,55,29.99,10,8,23,not rainy
88,69,62,29.94,10,6,21,not rainy
89,70,59,29.9,10,5,18,not rainy
89,67,59,29.9,10,5,15,not rainy
89,68,52,29.93,10,4,23,"Rain , Thunderstorm"
87,66,58,29.96,10,4,17,not rainy
88,71,61,29.89,10,5,26,not rainy
87,72,64,29.87,10,5,23,"Rain , Thunderstorm"
85,72,69,29.91,10,4,24,not rainy
87,72,68,29.93,10,7,26,not rainy
90,72,62,29.9,10,8,25,not rainy
88,73,66,29.91,10,8,32,not rainy
88,70,61,29.95,10,6,26,not rainy
86,74,65,30,8,5,37,"Fog , Rain , Thunderstorm"
87,73,63,30.02,10,4,21,Rain
86,71,67,30.01,10,3,20,"Rain , Thunderstorm"
82,72,78,30.04,8,3,13,"Rain , Thunderstorm"
84,69,70,29.97,10,3,15,not rainy
86,69,63,29.9,10,6,20,not rainy
88,71,63,29.83,10,7,25,not rainy
89,71,60,29.89,10,5,19,not rainy
81,70,67,30,9,5,24,"Rain , Thunderstorm"
63,60,92,30.19,5,5,24,Rain
71,64,87,30.16,8,2,10,not rainy
79,68,76,30.09,9,2,13,not rainy
84,72,70,30.01,10,3,28,"Rain , Thunderstorm"
83,74,75,29.93,9,3,20,"Rain , Thunderstorm"
81,73,78,29.88,7,2,33,"Fog , Rain , Thunderstorm"
80,74,85,29.89,8,3,14,Rain
82,73,78,29.94,9,3,15,Rain
81,70,71,30.01,10,3,15,not rainy
81,68,69,30.07,10,4,16,not rainy
76,58,57,30.09,10,3,12,not rainy
72,56,64,30.1,10,2,16,not rainy
73,62,74,30.1,10,3,20,not rainy
76,64,71,30.06,10,3,15,not rainy
74,66,78,30,10,2,14,Rain
77,65,72,29.98,8,3,15,not rainy
78,64,68,29.92,10,2,12,not rainy
78,65,70,29.83,10,2,14,not rainy
84,70,68,29.79,10,5,18,not rainy
84,72,72,29.82,9,7,27,"Rain , Thunderstorm"
75,51,44,30.06,10,7,22,Thunderstorm
70,48,51,30.12,10,4,14,not rainy
75,62,69,29.9,10,6,23,not rainy
81,69,73,29.86,10,6,20,not rainy
83,70,67,29.92,9,5,21,not rainy
82,70,70,29.98,10,6,23,not rainy
84,71,69,29.93,10,7,22,Rain
84,70,66,29.89,10,7,24,not rainy
69,62,85,30.04,7,5,20,"Fog , Rain"
69,63,86,29.88,9,2,24,"Rain , Thunderstorm"
69,59,63,29.8,10,10,36,"Rain , Thunderstorm"
66,43,49,30.09,10,5,20,not rainy
72,46,46,30.06,10,2,16,not rainy
72,49,50,29.94,10,4,23,not rainy
74,60,69,29.9,10,3,17,not rainy
76,64,67,30,10,2,12,not rainy
74,63,74,30.06,10,2,15,not rainy
73,61,73,30.02,9,2,13,not rainy
71,55,61,30.03,9,3,16,not rainy
72,59,67,30.06,10,2,14,Rain
75,59,64,30.09,10,2,11,Rain
73,59,64,30.12,10,2,9,not rainy
75,59,62,30.11,10,2,12,not rainy
74,58,62,29.98,10,4,19,not rainy
74,61,67,29.89,10,6,23,not rainy
75,65,74,29.99,10,2,12,not rainy
73,62,68,30.1,10,3,14,not rainy
73,59,72,30.1,10,2,10,Rain
66,49,60,30.22,9,7,25,Rain
58,39,54,30.34,10,5,14,not rainy
62,45,61,30.26,10,6,25,not rainy
68,59,72,30.12,10,6,23,not rainy
67,63,87,30.09,8,5,28,Rain
57,56,97,30.16,6,6,20,Rain
59,51,75,30.28,10,4,17,Rain
60,41,53,30.19,10,2,11,not rainy
62,47,67,30.1,10,4,25,not rainy
61,43,59,30.07,10,3,13,not rainy
63,53,70,29.83,10,6,31,not rainy
54,41,67,30.03,10,7,32,not rainy
44,23,50,30.34,10,9,27,not rainy
36,13,43,30.52,10,8,28,not rainy
38,17,44,30.4,10,3,11,not rainy
44,39,72,30.14,5,4,15,Rain
42,45,91,30,4,6,28,"Fog , Rain"
42,21,52,30.4,10,6,26,not rainy
43,23,51,30.48,10,2,15,not rainy
51,38,64,30.27,10,3,22,not rainy
57,57,85,30.08,8,3,16,"Fog , Rain"
68,65,90,30.05,6,5,20,"Fog , Rain"
63,62,97,29.86,6,7,28,"Fog , Rain , Thunderstorm"
67,48,62,29.64,10,5,27,not rainy
53,32,47,30.06,10,5,28,not rainy
53,33,53,30.26,10,3,16,not rainy
60,33,40,30.22,10,3,17,not rainy
53,33,52,30.45,10,4,16,not rainy
57,45,62,30.24,10,4,24,not rainy
65,57,75,30.02,10,7,31,not rainy
72,62,71,30.03,10,7,28,not rainy
54,42,69,30.31,10,6,30,not rainy
45,32,63,30.33,10,4,16,not rainy
54,50,88,30.18,7,1,10,not rainy
62,61,94,30.11,3,3,16,Rain
69,64,82,30.08,8,5,20,Rain
62,51,72,30.32,10,6,20,not rainy
54,48,83,30.33,10,4,14,not rainy
58,46,69,30.32,10,3,14,not rainy
56,45,70,30.31,8,1,11,not rainy
57,50,75,30.2,9,1,11,Rain
62,57,85,30.18,7,5,16,Rain
65,57,78,30.23,10,5,17,Rain
65,57,79,30.15,9,5,21,not rainy
68,62,82,29.94,9,6,26,Rain
63,51,58,29.99,10,5,19,not rainy
55,34,47,30.28,10,5,20,not rainy
51,44,75,30.14,8,4,22,"Rain , Thunderstorm"
55,51,92,30.1,4,3,17,not rainy
53,48,89,30.12,7,7,19,"Rain , Thunderstorm"
52,45,82,30.21,9,3,13,not rainy
53,49,83,30.02,9,5,20,not rainy
67,52,63,29.7,10,5,18,not rainy
51,40,66,29.81,10,8,31,Rain
46,32,62,30.11,10,6,25,not rainy
49,33,61,30.05,10,6,30,not rainy
64,57,83,29.93,9,5,21,Rain
54,49,79,30.09,8,8,24,Rain
40,30,71,30.25,10,4,21,Rain
49,36,68,30.14,10,2,15,not rainy
43,40,87,30.36,6,6,21,Fog
39,29,70,30.48,10,8,21,not rainy
37,35,82,30.25,3,5,13,"Rain , Thunderstorm"
41,39,95,30.08,4,5,18,"Rain , Thunderstorm"
51,40,74,29.99,8,3,24,"Rain , Thunderstorm"
43,30,69,30.48,10,7,26,not rainy
41,23,54,30.6,10,4,12,not rainy
54,32,50,30.38,10,2,13,not rainy
41,27,54,30.58,10,9,32,not rainy
30,12,48,30.54,10,5,23,Rain
36,26,62,30.48,10,6,21,Rain
34,31,76,30.42,4,3,13,"Rain , Thunderstorm"
42,39,90,30.21,7,3,13,Rain
43,41,88,30.28,5,5,20,Fog
39,33,83,30.43,7,7,21,not rainy
39,36,86,30.33,4,5,15,not rainy
49,36,68,30.33,9,4,19,not rainy
51,38,64,30.29,10,3,12,not rainy
54,40,63,30.13,10,3,20,not rainy
59,30,37,30.28,10,3,15,not rainy
56,41,59,30.04,10,3,19,not rainy
61,44,59,29.94,10,3,19,not rainy
53,50,84,30.07,5,6,17,Rain
47,46,91,30.07,4,10,32,Rain
45,38,77,30.26,8,6,23,Rain
50,36,62,30.2,10,4,21,not rainy
57,34,53,30.11,10,6,20,not rainy
60,37,43,30.21,10,5,17,not rainy
67,40,47,30.15,10,6,24,not rainy
62,42,60,30.12,10,4,22,not rainy
66,49,68,30.22,10,4,25,not rainy
53,36,52,30.37,10,6,23,Rain
56,51,80,30.04,5,4,21,Rain
59,54,77,29.98,8,7,28,Rain
41,24,48,30.35,10,6,22,not rainy
42,37,76,30.27,6,2,11,Rain
49,45,92,30.13,5,2,13,Rain
45,35,77,30.38,10,7,26,not rainy
49,38,69,30.37,10,3,16,not rainy
55,46,71,30.08,8,5,21,not rainy
68,56,72,29.9,10,6,26,not rainy
68,44,49,30.07,10,3,13,not rainy
64,44,57,29.99,10,4,18,not rainy
65,49,64,30.03,7,5,26,not rainy
53,34,51,30.35,10,7,27,not rainy
55,38,58,30.31,10,2,15,not rainy
63,47,60,30.22,10,3,14,not rainy
63,58,80,30.02,10,5,19,not rainy
51,39,79,30.03,8,9,28,Rain
45,27,59,30.25,10,7,22,not rainy
49,29,56,30.31,10,4,18,not rainy
54,40,61,30.25,10,5,28,not rainy
65,56,72,29.92,10,9,31,not rainy
67,56,69,29.88,10,6,25,not rainy
47,44,80,30.14,8,7,30,Rain
34,29,87,30.45,7,9,24,Rain
34,29,84,30.24,8,4,15,not rainy
49,34,64,29.94,8,3,21,Rain
43,31,74,30.19,10,7,24,not rainy
34,25,72,30.38,8,7,21,Rain
34,31,93,30.31,5,5,17,Rain
39,38,95,30.29,4,6,16,Rain
42,40,95,30.28,5,4,15,Rain
52,49,95,29.98,2,1,13,"Fog , Rain"
52,56,95,29.9,4,6,36,"Fog , Rain , Thunderstorm"
39,25,61,30.45,9,10,33,"Rain , Thunderstorm"
42,23,54,30.56,10,2,13,not rainy
49,30,56,30.4,10,2,13,not rainy
51,48,69,30.17,3,3,16,Rain
52,49,97,29.96,5,4,13,Rain
57,50,78,30.04,10,4,14,not rainy
57,50,79,30.2,10,6,20,not rainy
63,52,73,30.1,10,5,18,Rain
66,52,68,30,8,3,18,not rainy
66,49,61,30.1,10,6,23,not rainy
60,51,72,30.26,10,3,16,not rainy
65,56,73,30.21,9,3,17,not rainy
70,63,82,30.11,8,3,16,Rain
71,61,74,29.99,10,4,20,Rain
73,64,79,29.95,8,5,17,not rainy
64,61,89,30.09,6,4,22,"Fog , Rain"
58,56,95,30.08,7,4,17,Rain
68,57,75,30.03,10,4,15,not rainy
66,56,73,30.06,10,3,14,not rainy
71,60,72,29.97,10,7,22,not rainy
73,61,72,29.91,10,8,27,not rainy
62,48,62,30.03,9,10,29,Rain
64,36,44,30.15,10,4,19,not rainy
66,44,54,30.08,10,5,24,not rainy
71,56,67,30.06,10,8,28,not rainy
72,62,76,30.11,10,5,18,not rainy
74,62,74,30,10,7,20,not rainy
76,65,71,29.92,9,7,25,Rain
76,66,76,29.9,8,8,26,not rainy
76,62,67,29.98,8,7,27,not rainy
63,44,53,30.24,10,8,32,not rainy
64,59,78,30,5,4,16,Rain
75,65,76,29.94,8,7,24,not rainy
78,65,71,29.96,10,8,26,not rainy
74,67,81,29.92,9,8,29,not rainy
79,67,73,29.86,9,7,27,not rainy
65,53,70,30.08,10,5,26,"Rain , Thunderstorm"
65,62,86,30.04,5,3,12,Rain
75,67,81,29.91,5,5,19,Fog
76,65,67,29.86,8,4,19,"Rain , Thunderstorm"
67,55,67,30.04,10,6,20,not rainy
69,56,69,29.97,10,4,20,not rainy
74,66,78,29.91,9,4,27,"Rain , Thunderstorm"
71,65,81,29.92,8,4,18,"Rain , Thunderstorm"
66,63,82,29.87,8,4,43,"Fog , Rain , Thunderstorm"
73,58,60,29.8,7,6,25,"Fog , Thunderstorm"
64,43,48,29.98,10,6,25,not rainy
66,53,66,29.95,10,5,22,not rainy
74,65,79,29.89,10,7,23,not rainy
77,69,85,29.87,8,4,16,not rainy
77,72,85,29.82,6,5,23,"Rain , Thunderstorm"
82,64,61,29.74,7,5,20,Thunderstorm
78,69,77,29.65,8,8,32,"Rain , Thunderstorm"
74,62,66,29.68,9,4,37,"Rain , Thunderstorm"
59,52,74,29.98,10,8,26,not rainy
63,45,61,30.05,10,5,19,not rainy
67,49,60,29.99,10,3,14,not rainy
70,52,60,30.02,10,2,15,not rainy
71,53,58,30.02,10,4,20,not rainy
71,58,67,29.98,10,6,23,not rainy
75,63,71,30.02,10,8,26,not rainy
75,67,77,29.95,6,7,28,"Fog , Rain , Thunderstorm"
79,69,74,29.91,8,8,23,Rain
78,71,81,29.87,9,9,26,Rain
76,73,88,29.87,5,6,19,"Rain , Thunderstorm"
79,71,79,29.82,7,9,31,"Rain , Thunderstorm"
82,71,71,29.8,9,10,29,not rainy
74,67,78,29.99,7,5,20,"Rain , Thunderstorm"
67,65,91,30.14,8,5,17,Rain
67,66,97,30.08,5,4,26,"Fog , Rain , Thunderstorm"
78,71,83,30.03,6,5,24,Rain
72,68,87,29.95,8,4,20,"Rain , Thunderstorm"
77,70,79,29.85,9,9,30,not rainy
75,68,83,29.94,6,5,35,"Rain , Thunderstorm"
81,72,77,30.03,9,5,20,Rain
82,72,73,29.99,8,8,28,Rain
81,72,75,29.94,8,5,21,"Rain , Thunderstorm"
69,63,84,30.08,10,6,24,"Rain , Thunderstorm"
70,67,91,30.08,6,4,17,Rain
77,71,83,30.02,6,7,32,"Fog , Rain , Thunderstorm"
73,68,81,29.89,10,6,17,Rain
74,69,87,29.84,7,5,29,"Fog , Rain , Thunderstorm"
78,69,80,29.95,6,6,20,Thunderstorm
76,70,82,30.03,9,5,18,"Rain , Thunderstorm"
78,73,80,30.01,8,6,25,"Rain , Thunderstorm"
77,66,76,29.95,8,5,33,"Rain , Thunderstorm"
79,68,74,30,10,2,16,"Rain , Thunderstorm"
77,64,67,30.06,10,2,16,not rainy
76,65,70,30.03,10,2,12,not rainy
79,66,70,29.96,10,2,16,not rainy
78,66,69,29.91,10,5,20,not rainy
78,66,68,29.95,10,4,16,not rainy
80,68,72,30,10,4,17,not rainy
80,67,72,29.97,10,3,14,not rainy
81,67,71,29.94,10,4,17,not rainy
82,68,67,29.95,10,3,13,not rainy
84,67,60,29.89,10,3,13,not rainy
83,68,62,29.83,10,4,16,not rainy
84,70,71,29.8,10,7,25,not rainy
84,73,70,29.82,10,6,20,not rainy
85,72,70,29.84,10,7,29,not rainy
79,73,87,29.89,8,6,22,"Fog , Rain , Thunderstorm"
82,73,78,29.93,9,4,24,"Rain , Thunderstorm"
78,73,84,29.9,8,7,25,"Fog , Rain , Thunderstorm"
81,74,83,29.85,7,5,15,"Fog , Rain , Thunderstorm"
82,73,82,29.95,10,4,21,Thunderstorm
78,73,87,30.02,8,1,22,"Fog , Rain , Thunderstorm"
78,73,90,30.02,8,3,26,"Fog , Rain , Thunderstorm"
79,75,85,30.03,7,4,29,"Fog , Rain , Thunderstorm"
81,74,84,30.06,9,5,17,not rainy
84,73,73,30.1,10,5,20,Thunderstorm
83,73,78,30.12,10,3,16,not rainy
83,72,76,30.06,10,4,17,not rainy
85,73,73,29.98,10,6,18,not rainy
83,73,75,29.99,10,1,22,"Rain , Thunderstorm"
82,73,73,30,9,2,17,"Rain , Thunderstorm"
84,72,75,29.97,9,5,18,not rainy
84,73,76,30.01,7,4,26,"Fog , Rain , Thunderstorm"
81,71,78,30.01,10,4,31,Rain
81,71,78,29.98,10,6,29,not rainy
84,72,69,29.96,9,6,19,not rainy
84,73,73,29.98,10,7,22,not rainy
84,73,75,30,10,7,26,not rainy
84,72,72,29.99,9,8,28,not rainy
85,73,71,29.95,10,8,28,not rainy
85,72,69,29.98,9,8,29,not rainy
85,71,65,30.03,9,8,24,not rainy
84,70,68,30.06,9,6,21,not rainy
83,70,69,30.1,10,5,19,not rainy
84,71,67,30.05,10,5,19,not rainy
86,71,69,29.93,10,5,19,not rainy
86,69,61,29.87,10,6,18,not rainy
85,70,64,29.91,10,6,19,not rainy
85,70,69,29.95,10,6,19,not rainy
86,72,66,29.94,10,7,21,not rainy
88,72,65,29.96,10,7,23,not rainy
87,72,65,29.97,10,6,22,not rainy
86,71,66,29.93,10,5,19,not rainy
86,71,66,29.88,10,6,19,not rainy
87,72,64,29.89,10,7,23,not rainy
88,70,62,29.95,10,7,24,not rainy
88,71,62,29.98,10,6,20,not rainy
87,70,66,29.95,10,5,19,not rainy
87,72,67,29.89,9,6,17,not rainy
89,72,62,29.9,9,6,20,not rainy
89,71,63,29.93,9,8,25,not rainy
89,71,61,29.99,10,6,18,not rainy
88,66,55,30.01,10,2,16,not rainy
90,68,52,29.97,10,4,21,not rainy
86,61,47,29.94,10,3,17,not rainy
88,61,48,29.88,10,3,16,not rainy
87,64,54,29.86,10,4,17,not rainy
89,70,62,29.9,10,6,22,not rainy
90,71,59,29.93,10,7,21,not rainy
90,71,59,29.89,10,7,22,not rainy
89,70,61,29.87,10,6,22,not rainy
90,73,66,29.86,10,10,24,not rainy
92,68,43,29.95,10,3,20,not rainy
91,67,51,29.94,10,3,19,not rainy
90,69,58,29.95,10,4,17,not rainy
89,66,54,29.96,10,3,16,Thunderstorm
87,67,58,29.93,10,4,19,not rainy
86,68,61,29.91,10,4,17,not rainy
88,70,62,29.84,10,7,23,not rainy
89,72,62,29.8,10,6,20,not rainy
79,71,78,29.94,8,4,22,"Rain , Thunderstorm"
82,71,73,29.96,9,5,23,Rain
87,73,65,29.92,10,6,22,not rainy
89,72,64,29.97,10,5,18,not rainy
89,68,58,30,10,2,15,not rainy
89,68,56,30.01,10,3,23,not rainy
86,68,62,30.05,10,3,13,not rainy
86,64,56,30.01,10,4,18,not rainy
85,60,50,29.95,10,4,18,not rainy
83,63,55,29.98,10,3,15,not rainy
86,65,55,29.97,10,3,17,not rainy
86,67,59,29.97,10,5,24,not rainy
84,69,64,30,10,5,21,not rainy
83,67,65,30.01,10,4,19,not rainy
84,69,64,29.92,10,3,19,not rainy
88,72,62,29.91,10,6,23,not rainy
90,73,62,29.95,10,7,24,not rainy
88,71,63,29.95,10,6,19,not rainy
88,70,61,29.91,10,6,20,not rainy
88,71,61,29.89,10,5,16,not rainy
84,73,74,29.91,8,3,17,"Rain , Thunderstorm"
84,73,71,29.91,7,2,25,"Fog , Rain , Thunderstorm"
84,73,72,29.92,8,3,20,not rainy
80,57,55,30.02,10,5,20,not rainy
